	PT1_shCtrl_exp_corr
ARF5	-0.25208473868028314
M6PR	0.032299846248013485
ESRRA	0.04071265840340027
FKBP4	-0.31824547142736187
NDUFAF7	0.01349686885133503
FUCA2	0.013853796125109409
DBNDD1	-0.08404924529984045
SEMA3F	0.009562848432798697
CYP51A1	-0.07932457501615355
USP28	0.019214097745690346
STPG1	-0.13895183682944504
NIPAL3	0.0016773429767581308
HSPB6	0.009372316744143124
ZNF195	-0.06985788746815022
CCL26	-0.031716039148058935
RALA	-0.024776888209056592
BCAP29	0.10293053257396399
BAIAP2L1	0.09175716987864209
TMEM132A	0.06680521556261809
DVL2	0.015598922679223899
GGCT	-0.032183879082178346
RPAP3	0.028994954035920874
IFRD1	-0.06172712802606902
TRAPPC6A	-0.23967630027328463
SPATA20	-0.1560355162889708
RHBDD2	-0.0028499476951947505
RPUSD1	0.004428022677734095
TSR3	-0.07905089721558343
OSBPL7	0.03638369262391721
NDUFAB1	-0.1979072152165313
LRRC23	-0.13299842228917394
SPRTN	-0.06753796152131111
CRY1	0.010433471174843284
MAPK8IP2	-0.15065440554022902
STARD3NL	0.009347361827662635
CAMK1G	0.15158115137253206
RPS20	-0.2289217688256356
MGST1	0.026543597278397175
SYPL1	-0.10029440633408157
RANBP9	0.09598411737610849
CD4	-0.1521295499571357
SS18L2	-0.11564480479356262
TSPAN9	0.020293436614328288
QPCTL	0.01516106680388251
PPP5C	0.002827365845501935
NME1	-0.36381054914688465
UBR7	-0.03826488030889565
MAP4K5	-0.11905832708071871
ERCC1	0.015510600314307394
ABHD5	0.0955013198090858
HEBP1	0.12498549569583868
DNASE1L1	-0.009119023424817707
COX15	0.026538883966667058
RGPD5	0.034355435463707944
XYLT2	0.07349024225336805
FTSJ1	-0.0018353577537619696
RALBP1	-0.17126036756156882
PSD	0.04044580321951396
VDAC3	0.0016825769817998242
GABRA1	0.23703928819423217
RTF2	-0.03931683650641301
RB1CC1	0.17726575885172668
AKAP11	-0.08172639248593024
STRAP	0.03373786359995198
PIGQ	-0.05299134007267426
RNASET2	0.05351482661914628
B4GALT7	-0.02912108942080776
SLC39A9	0.1071454875715143
FAM13B	0.11192036960429458
CHPF2	-0.018706253221808293
GABARAPL2	0.23209556772130563
FAM136A	-0.021156631063028168
NSMAF	-0.014185278912767767
TTC17	0.05137641052309726
MRI1	0.18633087218337044
BOD1L1	-0.09927598008179361
TARBP1	-0.1487144445105679
RIPOR1	-0.1278761009022179
RTN4R	0.006845775872953977
PSMA4	-0.1688207015669338
SPATA7	-0.026032404995794393
ZPBP	0.08423747328491721
CTNS	-0.14538535443164533
GOPC	0.056440389540217295
MRPS10	-0.0795678073443215
GUCA1A	-0.23170180309480723
GRN	-0.05770717247934028
THAP3	-0.0991070646085807
VAMP3	-0.1044841966176665
RCN1	0.14894086040348128
RFC2	-0.1373700925116968
PPP1R3F	-0.17304614437892174
NEXMIF	-0.014741056955131693
ARHGEF5	0.05420036702860857
NFE2L3	0.18965071908175948
TNIP3	-0.05499077700693648
SIKE1	0.005662718399052508
TLL1	-0.10942397199204064
