,0.0,0.0,1.0
0,X2,X5,X4
1,X3,X8,X9
2,X6,X11,X10
3,X7,X27,X23
4,X12,X31,X25
5,X13,X33,X28
6,X14,X35,X34
7,X16,X40,X44
8,X17,X42,X67
9,X18,X43,X80
10,X19,X47,X82
11,X20,X50,X99
12,X21,X54,X104
13,X22,X56,X108
14,X24,X81,X110
15,X26,X84,X113
16,X29,X88,X114
17,X30,X90,X116
18,X32,X92,X117
19,X36,X93,X118
20,X37,X94,X121
21,X38,X101,X122
22,X39,X107,X123
23,X41,X120,X126
24,X45,X124,X127
25,X46,X136,X128
26,X48,X137,X129
27,X49,X139,X130
28,X51,X141,X131
29,X52,X142,X132
30,X53,X146,X134
31,X55,X155,X135
32,X57,X157,X138
33,X58,X159,X140
34,X59,X166,X143
35,X60,X170,X144
36,X61,X172,X145
37,X62,X199,X147
38,X63,X201,X148
39,X64,X203,X149
40,X65,X206,X150
41,X66,X208,X151
42,X68,X209,X152
43,X69,X215,X158
44,X70,X217,X160
45,X71,X221,X162
46,X72,X223,X163
47,X73,X225,X164
48,X74,X227,X165
49,X75,X230,X167
50,X76,X232,X174
51,X77,X233,X175
52,X78,X235,X176
53,X79,X240,X177
54,X83,X241,X178
55,X85,X243,X179
56,X86,X246,X181
57,X87,X248,X182
58,X89,X249,X183
59,X95,X253,X184
60,X96,X254,X185
61,X97,X256,X187
62,X98,X259,X188
63,X100,X261,X189
64,X102,X265,X190
65,X103,X266,X191
66,X105,X269,X192
67,X106,X274,X193
68,X109,X275,X194
69,X111,X283,X195
70,X112,X286,X196
71,X115,X287,X197
72,X119,X289,X198
73,X125,X291,X202
74,X133,X296,X205
75,X153,X297,X207
76,X154,X298,X210
77,X156,X305,X211
78,X161,X306,X212
79,X168,X308,X214
80,X169,X309,X216
81,X171,X311,X218
82,X173,X313,X219
83,X180,X314,X224
84,X200,X317,X226
85,X204,X320,X228
86,X213,X321,X229
87,X220,X328,X231
88,X222,X329,X236
89,X234,X333,X237
90,X250,X334,X238
91,X252,X335,X239
92,X263,X336,X242
93,X267,X338,X244
94,X268,X340,X245
95,X277,X344,X247
96,X279,X347,X255
97,X282,X348,X257
98,X285,X352,X258
99,X299,X353,X260
100,X301,X355,X262
101,X304,X356,X264
102,X315,X358,X270
103,X330,X360,X271
104,X331,X365,X272
105,X337,X366,X273
106,X364,X370,X276
107,X368,X371,X278
108,X369,X372,X280
109,X384,X374,X281
110,X386,X377,X284
111,X389,X379,X288
112,X390,X383,X290
113,X393,X387,X292
114,X395,X388,X293
115,X396,X392,X294
116,X398,X406,X295
117,X399,X407,X300
118,X400,X410,X302
119,X401,X412,X303
120,X403,X413,X307
121,X405,X417,X310
122,X415,X422,X312
123,X416,X423,X316
124,X465,X424,X318
125,X482,X425,X319
126,X483,X426,X322
127,X484,X429,X323
128,X485,X430,X325
129,X486,X434,X326
130,X497,X436,X327
131,X498,X437,X332
132,X556,X438,X339
133,X568,X439,X341
134,,X441,X342
135,,X445,X343
136,,X446,X345
137,,X447,X346
138,,X449,X349
139,,X450,X350
140,,X452,X351
141,,X454,X354
142,,X456,X357
143,,X457,X359
144,,X458,X361
145,,X460,X362
146,,X461,X363
147,,X464,X367
148,,X468,X373
149,,X469,X375
150,,X470,X376
151,,X471,X378
152,,X472,X380
153,,X473,X381
154,,X474,X382
155,,X475,X385
156,,X479,X391
157,,X481,X394
158,,X487,X397
159,,X489,X402
160,,X490,X404
161,,X491,X408
162,,X499,X409
163,,X500,X411
164,,X503,X414
165,,X504,X418
166,,X505,X419
167,,X506,X421
168,,X507,X427
169,,X508,X428
170,,X509,X431
171,,X511,X432
172,,X513,X433
173,,X514,X435
174,,X515,X440
175,,X519,X442
176,,X520,X443
177,,X521,X444
178,,X526,X448
179,,X528,X451
180,,X529,X453
181,,X530,X455
182,,X532,X459
183,,X533,X462
184,,X535,X463
185,,X543,X466
186,,X544,X467
187,,X546,X476
188,,X551,X477
189,,X552,X478
190,,X554,X480
191,,X555,X488
192,,X557,X492
193,,X560,X493
194,,X562,X494
195,,X563,X495
196,,X566,X496
197,,X567,X502
198,,X569,X510
199,,X570,X512
200,,X571,X516
201,,,X517
202,,,X518
203,,,X522
204,,,X523
205,,,X524
206,,,X525
207,,,X527
208,,,X531
209,,,X534
210,,,X536
211,,,X537
212,,,X538
213,,,X539
214,,,X540
215,,,X541
216,,,X542
217,,,X545
218,,,X547
219,,,X548
220,,,X549
221,,,X550
222,,,X553
223,,,X558
224,,,X559
225,,,X561
226,,,X564
227,,,X565
228,,,X572
