ENST00000262305  RAB11FIP3  (RAB11 family interacting protein 3)
ENST00000298492  ABRAXAS2  (abraxas 2, BRISC complex subunit)
ENST00000302278  ITGB1  (integrin subunit beta 1)
ENST00000313219  CHMP7  (charged multivesicular body protein 7)
ENST00000333479  KNTC1  (kinetochore associated 1)
ENST00000349780  CDK5RAP2  (CDK5 regulatory subunit associated protein 2)
ENST00000356244  RANGAP1  (Ran GTPase activating protein 1)
ENST00000359052  SMARCAD1  (SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1)
ENST00000372899  UBR2  (ubiquitin protein ligase E3 component n-recognin 2)
ENST00000380641  CNTLN  (centlein)
ENST00000393062  SPIRE2  (spire type actin nucleation factor 2)
ENST00000409499  ATF2  (activating transcription factor 2)
ENST00000448395  KNSTRN  (kinetochore localized astrin/SPAG5 binding protein)
ENST00000454255  PHF23  (PHD finger protein 23)
ENST00000484955  MLF1  (myeloid leukemia factor 1)
ENST00000489671  TFDP2  (transcription factor Dp-2)
ENST00000491646  CLASP1  (cytoplasmic linker associated protein 1)
ENST00000504256  ANAPC4  (anaphase promoting complex subunit 4)
ENST00000504804  CNOT6L  (CCR4-NOT transcription complex subunit 6 like)
ENST00000507656  ANAPC10  (anaphase promoting complex subunit 10)
ENST00000511807  UBE2B  (ubiquitin conjugating enzyme E2 B)
ENST00000513888  NSUN2  (NOP2/Sun RNA methyltransferase family member 2)
ENST00000515629  SLC38A9  (solute carrier family 38 member 9)
ENST00000525734  CEP164  (centrosomal protein 164)
ENST00000532256  PSMA1  (proteasome subunit alpha 1)
ENST00000533429  POLD4  (DNA polymerase delta 4, accessory subunit)
ENST00000536027  IST1  (IST1, ESCRT-III associated factor)
ENST00000540021  MSH6  (mutS homolog 6)
ENST00000552319  CNOT2  (CCR4-NOT transcription complex subunit 2)
ENST00000560370  PSME2  (proteasome activator subunit 2)
ENST00000564163  ARPP19  (cAMP regulated phosphoprotein 19)
ENST00000583028  ERN1  (endoplasmic reticulum to nucleus signaling 1)
ENST00000583976  SKA2  (spindle and kinetochore associated complex subunit 2)
ENST00000593165  HAUS1  (HAUS augmin like complex subunit 1)
ENST00000611091  MIS12  (MIS12, kinetochore complex component)
ENST00000616552  MCM3  (minichromosome maintenance complex component 3)
ENST00000621097  RFC2  (replication factor C subunit 2)
